,January,February,March,April,May,June,July,August,September,October,November,December
Solar2019AEC,236.06844381801247,1529.4276399735243,2300.2107027642587,3522.420126222916,4107.465601027148,790.8294604125446,381.28722425329744,269.3887475693407,1088.1847118752087,907.411251577211,1293.8845941909685,1242.690299064825
Solar2019PEMEC,256.1119909346362,1659.2847037448616,2495.511611489526,3821.4935331663714,4456.212680359642,857.9753579947418,413.6606678219737,292.26137707994513,1180.5777534495192,984.4556031262196,1403.7427201128432,1348.201739551461
Solar2019SOEC,301.6430115452382,1954.2686510772814,2939.1581201987756,4500.870161284837,5248.428267979135,1010.5043105271403,487.2003421014357,344.21895522749094,1390.4582429516556,1159.4699325708807,1653.2969814662376,1587.882048805054
Wind2019AEC,8.615082624502627,54.27592785719085,42.91458930451127,196.0875634518263,171.3238463054759,141.03297650023129,17.826268320846403,1.9295039205398314,55.08600761744082,16.42451406847757,43.41295836655204,86.08412636519361
Wind2019PEMEC,9.346551903941531,58.884261354499515,46.55828084923392,212.7365075184908,185.8702106144314,153.0074745049679,19.339819404691855,2.093329725113968,59.76312147175184,17.819048281838874,47.09896426559891,93.39315596223834
Wind2019SOEC,11.008161131308915,69.35257448418832,54.8353085557644,250.55633107733362,218.91380361255256,180.2088033058511,22.77800952108152,2.4654772318008957,70.38767640006327,20.98687908749912,55.47211346837206,109.9963836888585
Total2019AEC,244.6835264425151,1583.7035678307152,2343.12529206877,3718.507689674743,4278.789447332624,931.8624369127758,399.11349257414383,271.3182514898806,1143.2707194926495,923.8357656456885,1337.2975525575205,1328.7744254300187
Total2019PEMEC,265.45854283857767,1718.1689650993612,2542.0698923387595,4034.2300406848626,4642.082890974074,1010.9828324997098,433.0004872266655,294.3547068050591,1240.3408749212708,1002.2746514080585,1450.841684378442,1441.5948955136994
Total2019SOEC,312.65117267654705,2023.62122556147,2993.9934287545393,4751.426492362172,5467.342071591687,1190.7131138329914,509.97835162251715,346.6844324592919,1460.845919351719,1180.4568116583798,1708.7690949346097,1697.8784324939127
Solar2020AEC,2493.5148710335097,2879.672180860108,3177.873554391938,5939.12388839562,4640.24140473799,3791.1722331656306,561.8804960311354,434.65623302581736,1011.1969847841405,1747.5452428590054,1101.4214195158502,924.347222599977
Solar2020PEMEC,2705.2283978193736,3124.1726490463434,3447.693007123329,6443.389124202796,5034.22416551763,4113.064215226864,609.5873305998168,471.56100752800944,1097.0533325488316,1895.9217257432608,1194.938332493611,1002.8295339528054
